enter(Feliodora) setPosition(Feliodora,0.25)
Feliodora "Esto es una prueba"
enter(Gallahim) setPosition(Gallahim,0)
Gallahim "Esto es una prueba"
enter(Asshimilos) setPosition(Asshimilos,0.5)
Asshimilos "Esto es una prueba"
enter(Madrina) setPosition(Madrina,1.05)
Madrina "Esto es una prueba"
enter(Allon) setPosition(Allon,0.75)
Allon "Esto es una prueba"
narrator "¡Hasta aquí el capítulo 1 de Beefsekai!"
narrator "Queríamos que esta demo sirviese como el primer día en un nuevo mundo, como una ventana a muchas aventuras de la mano de algunos amigos… ¿o quizá algo más?"
narrator "Aún nos queda mucho camino hasta llegar al final, ¡y no os creáis que habéis conocido a todo el mundo!"
narrator "Seguidnos en redes sociales, beefsekai y no os perdáis una sola actualización."   
narrator "¡El equipo de Beefsekai os damos las gracias y esperamos volver a veros pronto!"
narrator "..."
narrator "..."loadScene(Menu)
